image,class_id,class_name,confidence,status,matched_iou
unseen_03_20220307_190939_jpg.rf.51567061ac7c6762ab61b38fedad301e.jpg,2,phone,0.9735,TP,1.0
unseen_04_20220307_190941_jpg.rf.59d3a276870c9dc36542f72077122aaf.jpg,2,phone,0.9712,TP,1.0
unseen_04_20220307_190941_jpg.rf.59d3a276870c9dc36542f72077122aaf.jpg,0,cup,0.9616,TP,1.0
unseen_05_20220307_190942-1-_jpg.rf.6d17f56274c8e57936e0ff0edb7273e3.jpg,2,phone,0.962,TP,1.0
unseen_05_20220307_190942-1-_jpg.rf.6d17f56274c8e57936e0ff0edb7273e3.jpg,0,cup,0.9321,TP,1.0
unseen_05_20220307_190942-1-_jpg.rf.6d17f56274c8e57936e0ff0edb7273e3.jpg,0,cup,0.8756,TP,1.0
unseen_06_20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,0,cup,0.9646,TP,1.0
unseen_06_20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,2,phone,0.7666,TP,1.0
unseen_06_20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,0,cup,0.297,FP,0.0
unseen_07_20220307_191033_jpg.rf.acd4027bf5a5862c64bc9051f5ca0302.jpg,2,phone,0.9164,TP,1.0
unseen_07_20220307_191033_jpg.rf.acd4027bf5a5862c64bc9051f5ca0302.jpg,0,cup,0.8423,TP,1.0
unseen_08_20220307_191038_jpg.rf.61bd07251e5663073068179d8ab7be33.jpg,0,cup,0.9822,TP,1.0
unseen_08_20220307_191038_jpg.rf.61bd07251e5663073068179d8ab7be33.jpg,2,phone,0.9249,TP,1.0
unseen_09_20220307_191042_jpg.rf.cde105c1e3448b0591d5142f290e8302.jpg,2,phone,0.9361,TP,1.0
unseen_09_20220307_191042_jpg.rf.cde105c1e3448b0591d5142f290e8302.jpg,0,cup,0.9328,TP,1.0
unseen_09_20220307_191042_jpg.rf.cde105c1e3448b0591d5142f290e8302.jpg,2,phone,0.7776,TP,1.0
unseen_10_20220307_191121_jpg.rf.1ab158b4fa3a75be3b0a3c5b1111d25b.jpg,2,phone,0.9242,TP,1.0
unseen_10_20220307_191121_jpg.rf.1ab158b4fa3a75be3b0a3c5b1111d25b.jpg,0,cup,0.9044,TP,1.0
unseen_11_20220307_191126_jpg.rf.5ea08ca0b2bc755c61ebb6a70c2288a5.jpg,0,cup,0.9794,TP,1.0
unseen_11_20220307_191126_jpg.rf.5ea08ca0b2bc755c61ebb6a70c2288a5.jpg,2,phone,0.8868,TP,1.0
unseen_12_20220307_191127_jpg.rf.29f7a069599fb98f3487b5abefad36fa.jpg,0,cup,0.97,TP,1.0
unseen_12_20220307_191127_jpg.rf.29f7a069599fb98f3487b5abefad36fa.jpg,2,phone,0.9581,TP,1.0
